title,artist
Thanks for My Child,Cheryl Pepsii Riley
Teardrops,Womack & Womack
Wasting My Time,Jimmy Page
Roses Are Red,Mac Band
Theme From 'SExpress',S’Express
To Prove My Love,Michael Cooper
Superbad,Chris Jasper
Tribute (Right On),The Pasadenas
My Girl,Suave
She's Like the Wind,Patrick Swayze
Im Nin'Alu,Ofra Haza
Seasons Change,Exposé
Away,The Feelies
Stop,Sam Brown
Waiting For a Star to Fall,Boy Meets Girl
My One Temptation,Mica Paris
Yeke Yeke,Mory Kanté
Intoxication,Shriekback
I'm Not Your Man,Tommy Conwell and the Young Rumblers
Rev It Up,Jerry Harrison: Casual Gods
Love Changes Everything,Climie Fisher
I've Got A Feeling,The Screaming Tribesmen
The Race,Yello
Slow Turning,John Hiatt
Way Behind Me,The Primitives
Piano in the Dark,Brenda Russell
Fight (No Matter How Long),The Bunburys
The Promise,When in Rome
Common Ground,Rhythm Corps
Don't Turn Around,Aswad
I'm an Adult Now,The Pursuit of Happiness
La Bamba,Los Lobos
(I've Had) the Time of My Life,Bill Medley
Touch of Grey,Grateful Dead
Don't Shed a Tear,Paul Carrack
(I Just) Died in Your Arms Tonight,Cutting Crew
Don't Disturb This Groove,The System
Pump Up the Volume,M|A|R|R|S
C'est La Vie,Robbie Nevil
Funkytown,Pseudo Echo
Shattered Dreams,Johnny Hates Jazz
Heart & Soul,Pau
The Best Man In The World,Ann Wilson
China in Your Hand,T’Pau
Come As You Are,Peter Wolf
You're the Voice,John Farnham
Don't Go,Marlon Jackson
At This Moment,Billy Vera
I'm In Love,Lillo Thomas
Weapons Of Love,The Truth
Let it Be,Ferry Aid
Voyage Voyage,Desireless
Ghost On The Beach,Insiders
Caravan of Love,The Housemartins
Just That Type Of Girl,Madame X
Dirty Water,Rock & Hyde
Wonderful Life,Black
Sentimental Hygiene,Warren Zevon
You And Me Tonight,Déjà
Boys (Summertime Love),Sabrina Salerno
Walk On Fire,Little America
Living in a Box,Living in a Box
Paid in Full,Eric B. & Rakim
Let's Start Love Over,Miles Jaye
Walk the Dinosaur,Was (Not Was)
Heart Of Gold,Bert Robinson
Since You've Been Gone,The Outfield
6,Madhouse
Why Should I Cry?,Nona Hendryx
Gypsy Blood,Mason Ruffner
Tina Cherry,Georgio
The Fairytale of New York,The Pogues
Is This Love?,Alison Moyet
Thigh Ride,Tawatha Agee
Facts of Love,Jeff Lorber
The Lady in Red,Chris de Burgh
Closer Than Close,Jean Carne
Do You Get Enough Love,Shirley Jones
Until I Met You,Judy Rodman
The Way it Is,Bruce Hornsby & The Range
Ain't Nothin' Goin' On But the Rent,Gwen Guthrie
I Can't Wait,Nu Shooz
The Rain,Oran ‘Juice’ Jones
Don't Leave Me This Way,The Communards
Don't Forget Me (When I'm Gone),Glass Tiger
Serious,Donna Allen
Welcome To The Boomtown,David & David
Baby's Got a New Baby,"Schuyler, Knobloch & Overstreet"
Holiday Rap,MC Miker G & DJ Sven
I Want to Wake Up With You,Boris Gardiner
What About Love,’Til Tuesday
Savin' My Love For You,Micky Dolenz
Two Of Hearts,Stacey Q
Let's Go All the Way,Sly Fox
Rumors,Timex Social Club
Spirit in the Sky,Doctor and the Medics
I'm Not Gonna Let (You Get the Best of Me),Colonel Abrams
We Don't Have to Take Our Clothes Off,Jermaine Stewart
I Wanna Be A Cowboy,Boys Don’t Cry
I Can Prove It,Phil Fearon
Party Freak,Ca$hflow Harlem
Friends & Lovers,Gloria Loring
No Easy Way Out,Robert Tepper
When the Heart Rules the Mind,GTR
We Are the World,USA for Africa
The Power of Love,Jennifer Rush
(No Matter How High I Get) I'll Still Be Looking Up To You,Wilton Felder
Tarzan Boy,Baltimora
Life in a Northern Town,The Dream Academy
Highwayman,The Highwaymen
People Get Ready,Jeff Beck
Axel F,Harold Faltermeyer
Live Is Life,Opus
(I'll Never Be) Maria Magdalena,Sandra
A Good Heart,Feargal Sharkey
Walking On Sunshine,Katrina and the Waves
Men Without Shame,"Phantom, Rocker and Slick"
Caravan of Love,Isley Jasper Isley
Miami Vice Theme,Jan Hammer
Everybody Dance,Ta Mara and The Seen
I Should Have Known Better,Jim Diamond
All Of Me For All Of You,9.9
Some Like it Hot,The Power Station
Election Day,Arcadia
Sidewalk Talk,Jellybean
A Fly Girl,Boogie Boys
Kayleigh,Marillion
Obsession,Animotion
Never Surrender,Corey Hart
Stand By Me,Maurice White
Lay It Down,Ratt
Love & Pride,King
Who Do You Love,Bernard Wright
Could It Be I'm Falling in Love,David Grant
Go For Soda,Kim Mitchell
All I Need,Jack Wagner
Object of My Desire,Starpoint
I Wanna Say Yes,Louise Mandrell
Cry,Godley & Creme
Fall Down (Spirit Of Love),Tramaine
In My House,Mary Jane Girls
Do They Know It's Christmas?,Band Aid
You're Gettin' To Me Again,Jim Glaser
Don't Look Any Further,Dennis Edwards
Somebody's Watching Me,Rockwell
Got a Hold on Me,Christine McVie
Breakin'...There's No Stopping Us,Ollie & Jerry
Had A Dream (Sleeping With The Enemy),Roger Hodgson
Talking in Your Sleep,The Romantics
To All the Girls I've Loved Before,Julio Iglesias
Taxi,J. Blackfoot
Never Ending Story,Limahl
Friends,Whodini
If Love Should Go,Streets
Girls With Guns,Tommy Shaw
So You Ran,Orion the Hunter
Break My Stride,Matthew Wilder
Somebody Else's Guy,Jocelyn Brown
Oh Sherrie,Steve Perry
"You Get The Best From Me (Say, Say, Say)",Alicia Myers
Shackles,R.J.’s Latest Arrival
Modern Day Delilah,Van Stephenson
Only You,The Flying Pickets
Centipede,Rebbie Jackson
Wouldn't it Be Good,Nik Kershaw
Send Me an Angel,Real Life
Call to the Heart,Giuffria
Midnite Maniac,Krokus
Electric Kingdom,Twilight 22
The Last In Line,Dio
High Energy,Evelyn Thomas
Eat It,“Weird Al” Yankovic
Sweet Country Music,Atlanta
Little Lady,Duke Jupiter
Beat Street Breakdown - Part I,Grandmaster Melle Mel
We're Not Gonna Take It,Twisted Sister
Atomic Dog,George Clinton
99 Red Balloons,Nena
99 Luftballons,Nena
Maniac,Michael Sembello
The Safety Dance,Men Without Hats
Too Shy,Kajagoogoo
Major Tom (Coming Home),Peter Schilling
Puttin' on the Ritz,Taco
Rockit,Herbie Hancock
She Blinded Me With Science,Thomas Dolby
I Melt With You (1983 Version),Modern English
Stop Doggin' Me Around,Klique
Dolce Vita,Ryan Paris
Yah Mo B There,James Ingram
I Like Chopin,Gazebo
Strange Dreams,Frank Marino
They Don't Know,Tracey Ullman
Save Your Love,Renée & Renato
Far From Over,Frank Stallone
Who's Behind The Door?,Zebra
Too Tough,Angela Bofill
Last Night a DJ Saved My Life,Indeep
Vamos a la playa,Righeira
I.O.U.,Freeez
It's Raining Men,The Weather Girls
Do It Again/Billie Jean (Medley),Club House
(There's) Always Something There to Remind Me,Naked Eyes
Walking In L.A.,Missing Persons
Der Kommissar,After the Fire
In a Big Country,Big Country
Knockout,Margie Joseph
Cum On Feel the Noize,Quiet Riot
Pass the Dutchie,Musical Youth
Words,F.R. David
Jack & Diane,Pickin’ On Project
Mickey,Toni Basil
Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha,Trio
I've Never Been to Me,Charlene
I Know There's Something Going On,Anni-Frid Lyngstad
Zoom,Fat Larry’s Band
If It Ain't One Thing...It's Another,Richard Dimples Fields
The Message,Grandmaster Flash & The Furious Five
TROUBLE,Lindsey Buckingham
Murphy's Law,Cheri
Goody Two Shoes,Adam Ant
Addicted,LeRoux
Don't Go,Yazoo
Reality,Richard Sanderson
Don't Let Him Know,Prism
Work That Sucker To Death,Xavier
The Lion Sleeps Tonight,Tight Fit
So Fine,Howard Johnson
867-5309 (Jenny Jenny),Tommy Tutone
Right The First Time,Gamma
Nasty Girl,Vanity 6
Pac-man Fever,Buckner & Garcia
A Million Miles Away,The Plimsouls
I'll Find My Way Home,Jon and Vangelis
Can't Take My Eyes Off You,Boys Town Gang
Key Largo,Bertie Higgins
Mega Force,707
Planet Rock,Afrika Bambaataa
I Won't Let You Down,PHD
Valley Girl,Frank Zappa
Talk Talk,Talk Talk
Skandal im Sperrbezirk,Spider Murphy Gang
Crazy (Keep On Falling),The John Hall Band
Love Plus One,Haircut One Hundred
Felicita,Al Bano & Romina Power
Adios Amor,Andy Borg
Do Something,Goodie
The Clapping Song,Pia Zadora
Bette Davis Eyes,Kim Carnes
Tainted Love,Soft Cell
Shaddup You Face,Joe Dolce
Party Time,G Squad
Double Dutch Bus,Frankie Smith
Japanese Boy,Aneka
Genius of Love,Tom Tom Club
Fade to Grey,Visage
Theme From 'Greatest American Hero' (Believe It Or Not),Joey Scarbury
Fly Away,Blackfoot
Vienna,Ultravox
Heading Out To The Highway,Judas Priest
Sweet Baby,Stanley Clarke
Stop the Cavalry,Jona Lewie
Ghost Town,The Specials
Remote Control,The Reddings
Edge Of Sundown,Danny Joe Brown
Little Sister,Rockpile
On The Beat,The B.B. & Q. Band
Somebody's Knockin',Terri Gibbs
Stars On 45 Vol 2,Starsounds
Angel of Mine,Frank Duval
Rock And Roll Dreams Come Through,Jim Steinman
I Have The Skill,The Sherbs
Hearts,Marty Balin
Hooked On Classics,Royal Philharmonic Orchestra
Bon Bon Vie (Gimme the Good Life),T.S. Monk
Very Special,Debra Laws
I'll Do Anything for You,Denroy Morgan
Walking into Sunshine,Central Line
Heartbeat,Taana Gardner
Fool By Your Side,Dave Rowland
Make Up Your Mind,Aurra
A Woman's Got The Power,The A’s
Dance Little Bird,De Electronica's
Blue Jeans,Chocolate Milk
Funkytown,"Lipps, Inc."
Killin' Time,J. Fred Knobloch
Rapper's Delight,The Sugarhill Gang
Peanut Butter,Twennynine with Lenny White
Sun Of Jamaica,Goombay Dance Band
Tired of Toein' The Line,Rocky Burnette
"Bounce, Rock, Skate, Roll Pt.1",Vaughan Mason & Crew
Everybody's Got to Learn Sometime,The Korgis
I Got You,Split Enz
Together,Tierra
Whip It,DEVO
The Breaks,Kurtis Blow
Turning Japanese,The Vapors
Love Will Tear Us Apart,Joy Division
Take That Look Off Your Face,Marti Webb
Feels Like I'm in Love,Kelly Marie
I've Just Begun to Love You,Dynasty
Let Me Love You Tonight,Pure Prairie League
(Ghost) Riders in the Sky,Outlaws
Santa Maria,Roland Kaiser
Weekend,Earth and Fire
Into the Night,Benny Mardones
Computer Game (Theme from the Invaders),Yellow Magic Orchestra
Special Lady,"Ray, Goodman & Brown"
You And Me,Rockie Robbins
Que sera mi vida (If You Should Go),Gibson Brothers
All Night Thing,Invisible Man's Band
Santa Maria,Oliver Onions
You're Lying,Linx
I'm in the Mood For Dancing,The Nolans
You & Me,Spargo
Every Generation,Ronnie Laws
Mambo No 5 (A Little Bit of ...),Lou Bega
Kiss Me,Sixpence None the Richer
You Get What You Give,New Radicals
The Bad Touch,Bloodhound Gang
Who Dat,JT Money
Bring It All to Me,Blaque
Mas Tequila,Sammy Hagar and the Wabos
Guerilla Radio,Rage Against the Machine
You,Jesse Powell
No Pigeons,Sporty Thievz
Head,Tin Star
Steal My Sunshine,LEN
Flat Beat,Mr. Oizo
Do Right,Jimmie’s Chicken Shack
Better Off Alone,DJ Jurgen
15 Minutes,Marc Nelson
Better Days (And the Bottom Drops Out),Citizen King
It Ain't My Fault 2,Silkk the Shocker
Everybody's Free (To Wear Sunscreen),Baz Luhrmann
Summer Girls,LFO
Lullaby,Shawn Mullins
Fly,Loudmouth
Little Black Backpack,Stroke 9
2 Times,Ann Lee
"4,5,6",Solé
Level On The Inside,Dovetail Joint
Give it to You,Jordan Knight
Freak of the Week,Marvelous 3
You Got Me,The Roots
Got Your Money,Ol’ Dirty Bastard
Save Me,Aimee Mann
Westside,TQ
What'd You Come Here For?,Trina & Tamara
Bling Bling,B.G.
Nobody's Real,Powerman 5000
King of My Castle,Wamdue Project
Slave To The Habit,Shane Minor
Another Brick In The Wall (Part 2),Class of ’99
Stay the Same,Joey McIntyre
Stay the Night,iMX
Beautiful,Joydrop
A Bitter End,Deryl Dodd
Watch For The Hook,Cool Breeze
Crush,Jennifer Paige
Closing Time,Semisonic
Make It Hot,Nicole Wray
Ghetto Supastar (That is What You Are),Pras Michel
Big Big World,Emilia Mitiku
Save Tonight,Eagle‐Eye Cherry
Daydreamin',Tatyana Ali
Romeo And Juliet,Sylk-E. Fyne
High,Lighthouse Family
What If I Said,Anita Cochran
Jump Right In,The Urge
The Way,Fastball
"Truly, Truly",Grant Lee Buffalo
Music Sounds Better With You,Stardust
Flagpole Sitta,Harvey Danger
Hooch,Everything
Sex & Candy,Marcy Playground
Everything's Gonna Be Alright,sweetbox
Got You (Where I Want You),The Flys
Say It,Voices of Theory
Get 'Em Outta Here,Sprung Monkey
Be Careful,Sparkle
"Money, Power & Respect",The LOX
Kiss the Rain,Billie Myers
What I Didn't Know,Athenaeum
Am I Dreaming,Ol' Skool
Save Yourself,Stabbing Westward
9pm (Till I Come),ATB
Jump Jive An' Wail,The Brian Setzer Orchestra
Ghetto Cowboy,Mo’ Thugs
Do Your Thing,7 Mile
Battle Flag,Lo Fidelity Allstars
Brimful of Asha,Cornershop
Cherish,Pappa Bear
All 'Bout The Money,Meja
If You Tolerate This Your Children Will Be Next,Manic Street Preachers
Feel It,The Tamperer
Stand By Me,4 the Cause
From Your Mouth,God Lives Underwater
Destiny,Myron
The Mummer's Dance,Loreena McKennitt
Second Round K.O.,Canibus
Tragedy,Steps
I'll Be,Edwin McCain
Whatcha Gone Do?,Link
Boogie King,Screamin’ Cheetah Wheelies
Are You Jimmy Ray?,Jimmy Ray
How Do I Say I'm Sorry,Tami Davis
Tubthumping,Chumbawamba
My Body,LSG
Bitch,Meredith Brooks
Your Woman,White Town
Swing My Way,K.P. & Envyi
I Don't Ever Want to See You Again,Uncle Sam
Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz
My Baby Daddy,B-Rock & The Bizz
Time to Say Goodbye (Con Te Partiro),Sarah Brightman
Wash It Away,Black Lab
Brick,Ben Folds Five
Looking For,Stir
Sunny Came Home,Shawn Colvin
Big Daddy,Heavy D
Perfect Day,Various Artists
Sell Out,Reel Big Fish
I Care 'Bout You,Milestone
I'm Not Feeling You,Yvette Michele
Encore Une Fois,Sash!
For You,Kenny Lattimore
Lie To Me,Jonny Lang
Full Of Smoke,Christión
Hell,Squirrel Nut Zippers
Mann's Chinese,Naked
Hope In A Hopeless World,Widespread Panic
Resignation Superman,Big Head Todd and the Monsters
Take It To The Streets,Rampage
Here's Your Sign (Get the Picture),Bill Engvall
The Oaf,Big Wreck
If She Don't Love You,The Buffalo Club
Whateva Man,Redman
Free,Ultra Naté
The Theme (It's Party Time),Tracey Lee
Sunchyme,Dario G
This Lonely Place,Goldfinger
Let Me Clear My Throat,DJ Kool
Tic Tic Tac (Dance To Boi Bumba!),Carrapicho
Macarena,Los del Río
Missing,Everything but the Girl
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods
One of Us,Joan Osborne
I Love You Always Forever,Donna Lewis
Spaceman,Babylon Zoo
How Bizarre,OMC
Where Do You Go?,No Mercy
Counting Blue Cars,Dishwalla
Breakfast At Tiffany's,Deep Blue Something
Coco Jamboo,Mr. President
Pepper,Butthole Surfers
Nobody Knows,The Tony Rich Project
The Lemon Tree,Fools Garden
Mouth,Merril Bainbridge
Mother Mother,Tracy Bonham
Theme From 'Mission Impossible',Adam Clayton
Anything,3T
I Don't Think I Will,James Bonamy
I Will Survive,Chantay Savage
Novocaine for the Soul,EELS
Born Slippy,Underworld
Ooh Aah... Just a Little Bit,Gina G
Ready To Go,Republica
I Got 5 On It,Luniz
C'Mon Ride the Train,Quad City DJ’s
Where Ever You Are,Terry Ellis
Insensitive,Jann Arden
Vanishing Cream,The Hunger
5 O'Clock,Nonchalant
Mysterious Girl,Peter Andre
Free,Phish
Bound for the Floor,Local H
The Things That You Do,Gina Thompson
Popular,Nada Surf
Hay,Crucial Conflict
Renee,Lost Boyz
6 Underground,Sneaker Pimps
Lie On Lie,Chalk FarM
Blackberry Molasses,Mista
House Keeper,Men of Vizion
Skin & Bones,The Hazies
I Wish,Skee-Lo
Scooby Snacks,Fun Lovin’ Criminals
Leave Me Alone,Jerry Cantrell
My Boo,Ghost Town DJ’s
One for the Money,Horace Brown
Not an Addict,K’s Choice
Po Pimp,Do or Die
Mighty K.C.,For Squirrels
Closer to Free,BoDeans
Here Comes the Hotstepper,Ini Kamoze
I'll Be There for You / You're All I Need to Get By,Method Man
Cumbersome,Seven Mary Three
Total Eclipse of the Heart,Nicki French
I'll Be There For You,The Rembrandts
I Know,Dionne Farris
Sour Times (Nobody Loves Me),Portishead
Natural One,The Folk Implosion
Stayin' Alive,N‐Trance
This Lil' Game We Play,Subway
When You Say Nothing at All,Alison Krauss
Friends Of P.,The Rentals
You Have The Right To Remain Silent,Perfect Stranger
I Believe,Blessid Union of Souls
Sick of Myself,Matthew Sweet
Possum Kingdom,Toadies
River of Deceit,Mad Season
Tell Me,Groove Theory
Freak Like Me,Adina Howard
How High,Method Man & Redman
A Girl Like You,Edwyn Collins
She Don't Use Jelly,The Flaming Lips
Should've Asked Her Faster,Ty England
We Must Be In Love,Pure Soul
Here & Now,Letters to Cleo
I Like,Kut Klose
Where the Wild Roses Grow,Nick Cave & the Bad Seeds
Short Dick Man,20 Fingers
If You Think You're Lonely Now,K‐Ci
Mishale,Andru Donalds
Sugar Hill,AZ
Down by the Water,PJ Harvey
In The House Of Stone & Light,Martin Page
Roll to me,Del Amitri
Walk This World,Heather Nova
Chains,Tina Arena
I Wanna Love Like That,Tony Thompson
Set U Free,Planet Soul
The Bomb! (These Sounds Fall Into My Mind),The Bucketheads
This Is Me Missing You,James House
He's Mine,MoKenStef
I Never Seen A Man Cry (aka I Seen A Man Die),Scarface
Common People,Pulp
Weird-Out,Dandelion
Carnival,Natalie Merchant
Woman To Woman,Jewell
I Wanna Be a Hippy,Technohead
Love is All Around,Wet Wet Wet
Fall Down,Toad the Wet Sprocket
Mmm Mmm Mmm Mmm,Crash Test Dummies
"Baby, I Love Your Way",Big Mountain
7 Seconds,Youssou N’Dour
Saturday Night,Whigfield
Rhythm of the Night,Corona
Sukiyaki,4 P.M.
Kite,Nick Heyward
U Will Know,Black Men United
Tootsee Roll,69 Boyz
Backwater,Meat Puppets
High Road Easy,Sass Jordan
I Like to Move It,Reel 2 Real
I Can See Clearly Now,Jimmy Cliff
Push Comes To Shove,Jackyl
Seether,Veruca Salt
Gangsta Lean,DRS
Inside,Stiltskin
I Miss You,N II U
Watch The Girl Destroy Me,Possum Dixon
Doop,Doop
Things Can Only Get Better,D:Ream
Baby Come Back,Pato Banton
Cut Your Hair,Pavement
Come Baby Come,K7
90's Girl,Blackgirl
Here Comes A Man,Traffic
Your Love Is A 187,Whitehead Brothers
21st Century (Digital Boy),Bad Religion
Back in the Day,Ahmad
Old Times' Sake,Sweet Sable
"Girl, You'll Be A Woman Soon",Urge Overkill
Informer,Snow
What's Up?,4 Non Blondes
I'm Gonna Be (500 miles),The Proclaimers
Whoomp! (There it Is),Tag Team
Cantaloop (Flip Fantasia),Us3
More & More,Captain Hollywood Project
Get Out Of Control,Daniel Ash
Feed the Tree,Belly
Nobody Wins,Radney Foster
Something's Goin' On,U.N.V.
"Whoot, There It Is",95 South
Cannonball,The Breeders
Rebirth of Slick (Cool Like Dat),Digable Planets
So Alone,Men at Large
Hocus Pocus,Gary Hoey
Three Little Pigs,Green Jellÿ
Crank,Catherine Wheel
Take Me Anywhere,School of Fish
Cry No More,II D Extreme
The Hunter,Paul Rodgers
U.N.I.T.Y.,Queen Latifah
Slam,Onyx
Metal Mickey,Suede
Give it Up,Cut ’n’ Move
Sodajerk,Buffalo Tom
Alright Already,Larry Stewart
Being Simple,The Judybats
The Key the Secret,Urban Cookie Collective
Dazzey Duks,Duice
Dogs of Lust,The The
Two Worlds Collide,Inspiral Carpets
Laid,James
She Got Me (When She Got Her Dress On),Masters of Reality
Movin' On Up,M People
The Ubiquitous Mr Lovegrove,Dead Can Dance
My Sister,The Juliana Hatfield Three
Would I Lie to You?,Charles & Eddie
Stay,Shakespears Sister
Baby Got Back,Sir Mix‐A‐Lot
Not Sleeping Around,Ned’s Atomic Dustbin
Sleeping Satellite,Tasmin Archer
Jump Around,House of Pain
She's Mad,David Byrne
It's My Life,Dr. Alban
Please Don't Go,KWS
Star Sign,Teenage Fanclub
Ditty,Paperboy
Love U More,Sunscreem
Rump Shaker,Wreckx‐N‐Effect
Here We Go Again!,Portrait
Connected,Stereo MCs
How Do You Talk To An Angel,The Heights
Sometimes Love Just Ain't Enough,Patty Smyth
Helpless,Sugar
Ain't No Doubt,Jimmy Nail
It's Gonna Be a Lovely Day,The S.O.U.L. S.Y.S.T.E.M.
Shuffle It All,Izzy Stradlin and the Ju Ju Hounds
Haven't Got A Clue,Dramarama
Start The Car,Jude Cole
I Got a Man,Positive K
Spiritual High (State Of Independence) Part II,Moodswings
Someone to Hold,Trey Lorenz
Live & Learn,Joe Public
They Want EFX,Das EFX
You,Ten Sharp
Even the Man in the Moon Is Cryin',Mark Collie
Don't You Want Me,FELIX
Wishing On a Star,The Cover Girls
Flex,Mad Cobra
Fabulous,Happyhead
Real Love,Lorenzo
Whatcha Gonna Do With A Cowboy,Chris LeDoux
Walk On Faith,Mike Reid
Unbelievable,EMF
How Can I Ease the Pain,Lisa Fischer
Because I Love You (The Postman Song),Stevie B
Good Vibrations,Marky Mark and The Funky Bunch
