title,artist
Telephone Song,The Vaughan Brothers
The One & Only,Chesney Hawkes
Call Me,Phil Perry
After The Dance,Fourplay
Men,Gladys Knight
One More Try,Timmy T
Touch Me (All Night Long),Cathy Dennis
Sweetness And Light,Lush
Movin' On Up,Primal Scream
Take 5,Northside
Kissing You,Keith Washington
Tomorrow Never Knows,Danielle Dax
Face The Music,RTZ
Senza Una Donna (Without a Woman),Zucchero
Everybody's Free (To Feel Good),Rozalla
Its Love,King’s X
Falling,Julee Cruise
Always Look On the Bright Side of Life,Monty Python
Reach The Rock,Havana 3 A.M.
Wiggle It,2 in a Room
Unreal World,The Godfathers
Do Anything,Natural Selection
What A Way To Go,Ray Kennedy
Get Here,Oleta Adams
A Long Time Ago,The Remingtons
Hold You Tight,Tara Kemp
My Heart Is Failing Me,Riff
Sunless Saturday,Fishbone
Pearl,Chapterhouse
I've Been Thinking About You,Londonbeat
Cuts You Up,Peter Murphy
So You Like What You See,Samuelle
Black Velvet,Alannah Myles
Joey,Concrete Blonde
Tom's Diner,DNA
Groove is in the Heart,Deee‐Lite
More,The Sisters of Mercy
Kinky Afro,Happy Mondays
Dreamtime,The Heart Throbs
Blaze of Glory,Jon Bon Jovi
Jealous,Gene Loves Jezebel
Stone Cold Yesterday,The Connells
(Can't Live Without Your) Love & Affection,Nelson
Dub Be Good to Me,Beats International
The Crying Scene,Aztec Camera
Show Me Heaven,Maria McKee
Don't Wanna Fall in Love,Jane Child
Two To Make It Right,Seduction
There She Goes,The La’s
Slow Motion,Gerald Alston
Standing There,The Creatures
I'll Be Your Everything,Tommy Page
Heaven Knows,Lalah Hathaway
Iceblink Luck,Cocteau Twins
Killer,Adamski
Brickyard Road,Johnny Van Zant
Hippychick,Soho
Let's Get It On,By All Means
I Wanna Be Rich,Calloway
Anytime,McAuley-Schenker Group
It's a Shame (My Sister),Monie Love
Shelter Me,Cinderella
The Humpty Dance,Digital Underground
I Think I Love You Too Much,The Jeff Healey Band
It's Gonna Be Alright,Ruby Turner
If Wishes Came True,Sweet Sensation
Celebrate,An Emotional Fish
Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini,Bombalurina
Livin' in the Light,Caron Wheeler
Ghetto Heaven,The Family Stand
Sending All My Love,Linear
Crystal Clear,The Darling Buds
Knockin' Boots,Candyman
Got to Get,Leila K
I'm Free,The Soup Dragons
Can't Get Enuff,Winger
It's Time,The Winans
All Together Now,The Farm
The King of Wishful Thinking,Go West
Here's Where the Story Ends,The Sundays
Just a Friend,Biz Markie
Girls Nite Out,Tyler Collins
Hello,The Beloved
Turtle Power,Partners in Kryme
I Promised Myself,Nick Kamen
Jay Ho (you Are My Destiny),A. R. Rahman
I Love College,Asher Roth
Bulletproof!,La Roux
Untouched,The Veronicas
Sweet Disposition,The Temper Trap
Ayo Technology,Milow
Ain't I,Yung L.A.
I've Got Friends,Manchester Orchestra
Seasons,The Veer Union
You're a Jerk,New Boyz
Fairytale,Alexander Rybak
Crawl Back In,Dead by Sunrise
Swag Surfin,Fast Life Yungstaz
Heavy Cross,Gossip
Pussy,Rammstein
Stanky Legg,GS Boyz
According to You,Orianthi
Number 1,Tinchy Stryder
On the Ocean,K'Jon
Epiphany (I'm Leaving),Chrisette Michele
Shuttin' Detroit Down,John Rich
If A Song Could Get Me You,Marit Larsen
I Look Good,Chalie Boy
Irgendwas bleibt,Silbermond
The Boy Does Nothing,Alesha Dixon
My Best Days Are Ahead of Me,Danny Gokey
Shake It,Metro Station
Sweet About Me,Gabriella Cilmi
Paper Planes,M.I.A.
Love Me Dead,Ludo
Broken Again,Another Animal
Beggin',Madcon
Cry For You,September
She Got It,2 Pistols
Dey Know,Shawty Lo
Built To Last,Mêlée
Infinity 2008,Guru Josh Project
Kids,MGMT
Dangerous,Kardinal Offishall
Get Silly,V.I.C.
So Fly,Slim
Fall For You,Secondhand Serenade
Help Me,Alkaline Trio
In This City,Iglu & Hartly
New Soul,Yael Naïm
Hero,The X Factor Finalists 2008
Johnny & June,Heidi Newfield
Lookin Boy,Hotstylz
Handlebars,Flobots
Damaged,Danity Kane
They Say,Scars on Broadway
"Too Much, Too Young, Too Fast",Airbourne
Kuschel Song,Schnuffel
Love is you,Thomas Godoj
Ella elle l'a,Kate Ryan
I'm Not Over,Carolina Liar
You Can Let Go,Crystal Shawanda
That Song In My Head,Julianne Hough
The River,Noel Gourdin
Hey There Delilah,Plain White T’s
Rehab,Amy Winehouse
Hallelujah,Jeff Buckley
"Pop, Lock & Drop It",Huey
Life Is Beautiful,Sixx:A.M.
Ruby,Kaiser Chiefs
Here in your Arms,hellogoodbye
Int'l Players Anthem (I Choose You),Underground Kingz
Hard Sun,Eddie Vedder
Believe,The Bravery
Breathe Into Me,Red
Whine Up,Kat DeLuna
D.A.N.C.E.,Justice
Walk Away (remember Me),Paula DeAnda
Tell Me 'bout It,Joss Stone
Wait For You,Elliott Yamin
Dance Of The Manatee,Fair to Midland
Stiff Kittens,Blaqk Audio
The Running Free,Coheed and Cambria
Hood Figga,Gorilla Zoe
Flathead,The Fratellis
What Time Is It?,Disney
I Don't Wanna Be In Love,The Madden Brothers
I Got More,Cole Deggs & the Lonesome
Party Like A Rockstar,Shop Boyz
Island (Float Away),The Starting Line
Foundations,Kate Nash
Money In The Bank,Swizz Beatz
Crazy,Gnarls Barkley
I Loved Her First,Heartland
Shoulder Lean,Young Dro
I Wish I Was A Punk Rocker (With Flowers In My Hair),Sandi Thom
Tear You Apart,She Wants Revenge
Throw Some D's,Rich Boy
Me & U,Cassie
Stars Are Blind,Paris Hilton
Kryptonite (I'm On It),Purple Ribbon All-Stars
What's Left Of Me,Nick Lachey
Paralyzed,Rock Kills Kid
Gettin' Some,Shawnna
Young Folks,Peter Bjorn and John
Hard Rock Hallelujah,Lordi
When Your Heart Stops Beating,+44
Put Your Records On,Corinne Bailey Rae
Victim,Eighteen Visions
Move,Thousand Foot Krutch
Chain Hang Low,Jibbs
The Way I Live,Baby Boy Da Prince
Goodbye,Army of Anyone
Where'd You Go,Fort Minor
Rock Yo Hips,Crime Mob
Sister,Scoundrels (3)
No Promises,Shayne Ward
Need A Boss,Shareefa
Snow! Snow! Snow!,KinKi Kids
There It Go (The Whistle Song),Juelz Santana
Wings Of A Butterfly,HIM
Ghetto Story (Chapter 2),Cham
Splash,B’z
On Again Tonight,Trent Willmon
Breaking Free,High School Musical Cast
Put Your Hands Up For Detroit,Fedde Le Grand
Back Like That,Ghostface Killah
No Tomorrow,Orson
Do I Make You Proud,Taylor Hicks
Ridin',Chamillionaire
Lipstick,Rockie Lynne
Bad Day,Daniel Powter
La Camisa Negra,Juanes
Big City Life,Mattafix
Listen to Your Heart,D.H.T.
When I'm Gone (Sadie),No Address
Laffy Taffy,D4L
So Seductive,Tony Yayo
Cold (But I'm Still Here),Evans Blue
Walking Dead,Z‐Trip
Shine It All Around,Robert Plant and the Strange Sensation
Don't Ask Me How I Know,Bobby Pinson
Obsession (No Es Amor),Frankie J
Girlfight,Brooke Valentine
Hollow,Submersed
The Great Divide,Scott Stapp
Breakin',The Music
Dem Boyz,Boyz N Da Hood
Bom Bom Bom,Living Things
Heard 'Em Say,Kanye West Tribute Band
Taurus Here,Taurus
Back Then,Mike Jones
JCB Song,Nizlopi
My Way,Def Tech
I'm A King,P$C
Collide,Howie Day
F**k it (I Don't Want You Back),Eamon
Dragostea Din Tei,O-Zone
Do They Know It's Christmas?,Band Aid 20
I Don't Wanna Know,Mario Winans
Turn Me On,Kevin Lyttle
Call On Me,Eric Prydz
Superstar,Jamelia
Ugly,The Exies
Move Ya Body,Nina Sky
Pieces of Me,Ashlee Simpson
Obsession,Aventura
Mad World,Michael Andrews
Heaven,Los Lonely Boys
FURB (F U Right Back),Frankee
Redefine,Soil
Lean Back,Terror Squad
Dry Your Eyes,The Streets
Some Cut,Trillville
Tipsy,J-Kwon
1985,Bowling for Soup
Break Down Here,Julie Roberts
I Like That,Houston
Slow Hands,Interpol
Welcome to My Life,Simple Plan
She Wants to Move,N*E*R*D
So Far So Good,Thornley
I Can't Wait,Sleepy Brown
Mono,Courtney Love
Men Don't Change,Amy Dalley
Hit That,Offspring
Selfish,Slum Village
Jook Gal (Wine Wine),Elephant Man
Paint Me A Birmingham,Ken Mellons
Femme Like U (Donne moi ton corps),K‐Maro
Sunday,Lo‐Pro
Lola's Theme,The Shapeshifters
Never Leave You (Uh Oooh Uh Oooh),Lumidee
In the Shadows,The Rasmus
Damn!,YoungBloodZ
I Believe in a Thing Called Love,The Darkness
Picture,Allison Moorer
Move Your Feet,Junior Senior
I Can Only Imagine,MercyMe
Mundian to Bach Ke,Panjabi MC
Sorry Seems to Be the Hardest Word,Blue
Do You Call My Name,Ra
Say Yes,Floetry
Bottom of a Bottle,Smile Empty Soul
Never Scared,Bone Crusher
Wat da Hook Gon Be,Murphy Lee
Jerk it Out,Caesars
Take It Off,The Donnas
No Letting Go,Wayne Wonder
Beautiful Goodbye,Jennifer Hanson
I Can't Be Your Friend,Rushlow
Bridge Over Troubled Water,Clay Aiken
Emotional Rollercoaster,Vivian Green
Diamonds And Guns,Transplants
Blackout,(həd) p.e.
Be Faithful,Fatman Scoop
Pump It Up,Joe Budden
Bad Boy This Bad Boy That,Da Band
Born to Try,Delta Goodrem
Imprint,doubleDrive
Chihuahua,DJ BoBo
I Can't Take You Anywhere,Scotty Emerick
Nu Flow,Big Brovaz
Gigolo,Nick Cannon
Don't Wanna Try,Kumbia Kings
Scandalous,Mis-Teeq
Farther,Outspoken
Leave Right Now,Will Young
Aicha,Outlandish
One Last Time,Dusty Drake
The Ketchup Song (Asereje),Las Ketchup
A Thousand Miles,Vanessa Carlton
Wherever You Will Go,The Calling
The Hero,Chad Kroeger
Down 4 U,Irv Gotti Presents The INC.
Heaven,DJ Sammy
Superman (It's Not Easy),Five for Fighting
What If She's An Angel,Tommy Shane Steiner
Still Fly,Big Tymers
Honestly,Zwan
The Logical Song,Scooter
You Can't Hide Beautiful,Aaron Lines
Nothing in This World,"Ke'Tara Shavon ""Keke"" Wyatt"
Adriana,Headstrong
Don't You Forget It,Glenn Lewis
Good Times,Styles P
Super Woman,GTS
Forgive,Rebecca Lynn Howard
Murder On the Dancefloor,Sophie Ellis‐Bextor
Kiss Kiss,Holly Valance
Get Away,Earshot
These Are The Days,Holly Lamar
Like a Prayer,Mad’House
Before I Knew Better,Brad Martin
Po' Folks,Nappy Roots
Hey Mister,Custom
Round And Round Remix,Jonell
Days Go By,Dirty Vegas
Addictive,Truth Hurts
Get Over It,OK Go
Adrenaline,Gavin Rossdale
Starry Eyed Surprise,Paul Oakenfold
Colourblind,Darius
Hate to Say I Told You So,The Hives
Barbed Wire And Roses,PinMonkey
If That Ain't Country,Anthony Smith
Goodbye On A Bad Day,Shannon Lawson
Perdono,Tiziano Ferro
If I Could Go!,Angie Martinez
Blue Be-bop,RIP SLYME
No Light,3rd Strike
Look At Me Now,Sixwire
Because I Got High,Afroman
My Baby,Maserati Rome
Heard It All Before,Sunshine Anderson
Teenage Dirtbag,Wheatus
Smooth Criminal,Alien Ant Farm
He Loves U Not,Kidz Bop
Bizounce,Olivia
Killing The Fly,The Union Underground
"Lights, Camera, Action!",Mr. Cheeks
She's All I Got,Jimmy Cozier
The Way You Like It,Adema
She Misses Him,Tim Rushlow
Sing,Travis
After Party,Koffee Brown
Sweet Daze,pete.
Miss California,Dante Thomas
Oochie Wally,QB Finest
Me gustas tu,Manu Chao
Party Hard,Andrew W.K.
You Go Your Way,CHEMISTRY
What If...,Kate Winslet
Flavor of the Weak,American Hi‐Fi
Pain,Stereomud
Moi... Lolita,Alizée
Things I've Seen,Spooks
Beginning Of The End,Systematic
Something,Lasgo
Name Of The Game,The Crystal Method
What Took You So Long?,Emma Bunton
Rapture (Tastes So Sweet),iiO
Makin' Money,Handsome Devil
Project Chick,Cash Money Millionaires
Soul Sista,Bilal
Ante Up,M.O.P.
Is That Your Chick,Memphis Bleek
My Happiness,Powderfinger
Pure & Simple,Hear’Say
What A Day,Nonpoint
I Try,Macy Gray
Outside,Aaron Lewis
He Loves U Not,Dream
Who Let the Dogs Out?,Baha Men
It Feels So Good,Sonique
Lady (Hear Me Tonight),Modjo
Groovejet (If This Ain't Love),Spiller
Freestyler,Bomfunk MC’s
Gotta Tell You,Samantha Mumba
Liar,Profyle
No More (Baby I'ma Do Right),3LW
Sandstorm,Darude
Breathless,The Corrs
Wobble Wobble,504 Boyz
One Night Stand,J‐Shin
Flowers On The Wall,Eric Heatherly
N.I.B.,Primus
Goodbye Lament,Tony Iommi
Dance With Me,Debelah Morgan
I Like It,Sammie
Dance Tonight,Lucy Pearl
Everything You Want,Vertical Horizon
Boyz-N-The-Hood,Dynamite Hack
Callin' Me,Lil’ Zane
Whoa!,Black Rob
Angel's Son,Strait Up
Around The World (La La La La La),ATC
Take That,Torrey Carter
Meanwhile Back At The Ranch,The Clark Family Experience
Back Here,BBMak
Open My Heart,Yolanda Adams
Everything,MISIA
Bad Boyz,Shyne
Never Gonna Come Back Down,BT
X,Xzibit
Babylon,David Gray
The Christmas Shoes,NewSong
Painted Perfect,One Way Ride
Don't Call Me Baby,Madison Avenue
Karma,Diffuser
Absolutely (Story of a Girl),Nine Days
Silence,Delerium
Step into the Light,Dust for Life
"Left, Right, Left",Drama
PILLOWTALK,ZAYN
"Me, Myself & I",G‐Eazy
Forever Country,"Artists of Then, Now & Forever"
Faded,Alan Walker
Broccoli,DRAM
7 Years,Lukas Graham
Juju On That Beat (TZ Anthem),Zay Hilfigerrr
Fast Car - Radio Edit,Jonas Blue
Burning House,Cam
Spirits,The Strumbellas
Trip Switch,Nothing But Thieves
Don't Mind,Kent Jones
Sugar (feat. Francesco Yates),Robin Schulz
Mountain At My Gates,Foals
All We Ever Knew,The Head and the Heart
Sleep Without You,Brett Young
Deja Vu,J Álvarez
Cake By The Ocean,DNCE
Ooouuu,Young M.A
Caroline,Aminé
All My Friends,Snakehips
Where Are Ü Now (with Justin Bieber),Jack Ü
River,Bishop Briggs
Hide Away,Daya
Chill Bill,Rob $tone
YOUTH,Troye Sivan
Prophets Of Rage,Prophets of Rage
I Met A Girl,William Michael Morgan
Rock On,Tucker Beathard
Be Right There,Diplo
Fix,Chris Lane
Through It All,From Ashes to New
Genghis Khan,Miike Snow
White Iverson,Post Malone
X,Metro Boomin
Love Myself,Hailee Steinfeld
Running Out,Matoma
Gangsta,Kehlani
Dessert,Dawin
No Problem,Chance the Rapper
Jolene,Pentatonix
Until The World Goes Cold,Trivium
Switchblade,Holy White Hounds
Ain't No Stopping Us Now,Big Daddy Kane
Money Longer,Lil Uzi Vert
Black Honey,Thrice
Pick Any Small Town,Josh Gallagher
Soundcheck,Catfish and the Bottlemen
My Church,Maren Morris
In Chains,Shaman’s Harvest
Uber Everywhere,MadeinTYO
Ain't Nobody (Loves Me Better),Felix Jaehn
Unlove You,Jennifer Nettles
Borro Cassette,Maluma
11:11,Dinosaur Pile‐Up
One Night,Lil Yachty
Reality - Radio Edit,Lost Frequencies
Gold,Kiiara
Life Itself,Glass Animals
Thy Will,Hillary Scott & The Scott Family
Falling,Trent Harmon
The Eagle Has Landed,Avatar
That's All I Need,Dirty Freek
Ginza,J Balvin
Brazil,Declan McKenna
Picky,Joey Montana
Gone,JR JR
"Wat U Mean (Aye, Aye, Aye)",Dae Dae
Body,Dreezy
First,Cold War Kids
Watch Me,Silentó
Cheerleader,OMI
Buy Me A Boat,Chris Janson
Where Are Ü Now,Skrillex
Fight Song,Rachel Platten
Worth It,Fifth Harmony
"Honey, I'm Good.",Andy Grammer
Smoke,A Thousand Horses
Nasty,Bandit Gang Marco
S.O.B.,Nathaniel Rateliff & The Night Sweats
Love You Like That,Canaan Smith
Locked Away,R. City
Somebody,Natalie La Rose
2 Heads,Coleman Hell
Nasty Freestyle,T-Wayne
Long Way Down,Robert DeLong
Bet You Can't Do It Like Me,IamDLOW
Take It Back,The Temperance Movement
Boyz-N-The Hood,Eazy‐E
Mona Lisa Smile,Wolf Alice
Classic Man,Jidenna
When I'm Gone,Joey + Rory
Ex's & Oh's,Elle King
Become The Enemy,Like a Storm
The Hanging Tree,James Newton Howard
Trailer Hitch,Kristian Bush
Backroad Song,Granger Smith
Tuesday,iLoveMakonnen
Hit the Quan,iLoveMemphis
Sedona,Houndmouth
Dancing On Nails,We Are Harlot
Don't Wanna Fight,Alabama Shakes
Soldier,Damien
Electric Love,BØRNS
Budapest,George Ezra
Somebody New,Joywave
Yoga,Janelle Monáe
Hearts I Leave Behind,Pete Scobell Band
The Climb,Zach Seabaugh
Here,Alessia Cara
Sorry,Meg Myers
Rude,MAGIC!
Stolen Dance,Milky Chance
Am I Wrong,Nico & Vinz
2 On,Tinashe
Take Me to Church,Hozier
Boom Clap,Charli XCX
It's About Time,The Young Gods
Me and My Broken Heart,Rixton
Waves,Mr. Probz
The Worst,Jhené Aiko
Room To Breathe,You Me at Six
Wake Me Up,Gareth Malone's All Star Choir
Tsunami (Jump),DVBBS
Sunlight,The Magician
Something I Need,Ben Haenow
Prayer in C,Lilly Wood & The Prick
My Love,Route 94
I Wanna Feel,Secondcity
I Have Nothing,Tessanne Chin
Ghost,Ella Henderson
Do They Know It's Christmas?,Band Aid 30
We Might Be Dead By Tomorrow,SoKo
Wasted,Tiësto
You Got It All,Union
Ride,SoMo
Beggin For Thread,Banks
They Don't Know,Rico Love
One For The Money,Escape the Fate
24 Hours,Teeflii
Take The Bullets Away,We as Human
Touch,Shift K3Y
The Mother We Share,CHVRCHΞS
Faded,ZHU
Changes,Faul & Wad
Made Me,Snootie Wild
Bump & Grind 2014,Waze & Odyssey
You Sound Good To Me,Lucy Hale
Wild Life,Jack & Jack
Cardiac Arrest,Bad Suns
Trainwreck 1979,Death From Above
Ready for Your Love,Gorgon City
Dangerous,Big Data
Lullaby,Professor Green
U Guessed It,OG Maco
Weekend,Priory
Braveheart,Neon Jungle
Take Me Home,Cash Cash
Million Pound Girl (Badder Than Bad),Fuse ODG
Got No Fans,The Wealdstone Raider
Black Roses,Clare Bowen
2AM.,Adrian Marcel
Harlem Shake,Baauer
Vilify,Device
I Love It,Icona Pop
Let Her Go,Passenger
Say Something,A Great Big World
Lolly,Maejor
Safe and Sound,Capital Cities
From Can To Can't,Dave Grohl
It Won't Stop,Sevyn Streeter
All Gold Everything,Trinidad James
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
The Fox,Ylvis
Love Me Again,John Newman
Don't Drop That Thun Thun!,Finatticz
Animals,Martin Garrix
Howl,Beware of Darkness
La La La,Naughty Boy
Get Up (Rattle),Bingo Players
Look Right Through,Storm Queen
Hurricane,MS MR
Wop,J. Dash
Let's Get Ready to Rhumble,PJ & Duncan
Elephant,Tame Impala
Skyscraper,Sam Bailey
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Howle
So Good to Me,Chris Malinchak
"Fire, Fire",Heaven’s Basement
Ding-Dong! The Witch Is Dead,Harold Arlen
Who Booty,John Hart
23,Mike WiLL Made‐It
Could It Be,Charlie Worsham
San Francisco,The Mowgli’s
Hero,Family of the Year
American Beautiful,The Henningsens
How Could I Want More,Jamie Lynn Spears
Sonnentanz (Sun Don't Shine),Klangkarussell
Jubel,Klingande
Tightrope,I Walk the Line
What Do You Say,CHARCOAL FILTER
Reload,Sebastian Ingrosso
Recovery,Frank Turner
Somebody That I Used to Know,Gotye
Call Me Maybe,Carly Rae Jepsen
Don't You Worry Child,Swedish House Mafia
Too Close,Alex Clare
UP!,LoveRance
Drank In My Cup,Kirko Bangz
Take A Walk,Passion Pit
I Like It,Foxy Shazam
We Come Running,Youngblood Hawke
Next to Me,Emeli Sandé
Brokenhearted,Karmin
Beneath Your Beautiful,Labrinth
Love And War,Tamar Braxton
Did It For The Girl,Greg Bates
45,The Gaslight Anthem
Curl Of The Burl,Mastodon
Heatwave,Wiley
Bom Bom,Sam and the Womp
Jump Into The Fog,The Wombats
Home Sweet Home,The Farm
Snap Backs & Tattoos,Driicky Graham
Headlights,Morning Parade
Young,Tulisa
The Power of Love,Gabrielle Aplin
Twilight,Cover Drive
"He Ain't Heavy, He's My Brother",The Justice Collective
Want U Back,Cher Lloyd
Race You To The Bottom,New Medicine
Sleep Alone,Two Door Cinema Club
Wanna Make You Love Me,Andy Gibson
America,Deuce
Panic,Sublime with Rome
Fly Together,Red Café
Mr Saxobeat,Alexandra Stan
Racks,YC
"Tonight, Tonight",Hot Chelle Rae
New Low,Middle Class Rut
Wishing On a Star,The X Factor Finalists 2011
Lighters,Bad Meets Evil
Whirring,The Joy Formidable
Midnight City,M83
From A Table Away,Sunny Sweeney
I follow rivers,Lykke Li
In The Dark,DEV
Lipstick,Jedward
4evermore,Anthony David
She Makes Me Wanna,JLS
Yonkers,"Tyler, the Creator"
Promises,Nero
Good Night,Reece Mastin
Georgia Clay,Josh Kelley
Holocene,Bon Iver
This Is Why We Fight,The Decemberists
Porn Star Dancing,My Darkest Days
Mountain Man,Crash Kings
Stereo love,Edward Maya
We No Speak Americano,Yolanda Be Cool
Whip My Hair,WILLOW
Billionaire,Travie McCoy
Impossible,Shontelle
Wavin' Flag,K’naan
What Do You Want From Me?,Adam Lambert
Everybody Hurts,Helping Haiti
When We Collide,Matt Cardle
Live like we're dying,Kris Allen
Pray For You,Jaron and the Long Road to Love
Barbra Streisand,Duck Sauce
You're The One,Dondria
Heroes,The X Factor Finalists 2010
Crossfire,Brandon Flowers
Hold You (Hold Yuh),Gyptian
Letters From The Sky,Civil Twilight
Over the Rainbow,Israel Kamakawiwoʻole
The High Road,Broken Bells
Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius
Satellite,Lena
New Fang,Them Crooked Vultures
Dirtee Disco,Dizzee Rascal
Shout,Shout for England
What's Not To Love,Dwele
Giddy On Up,Laura Bell Bundy
Teach Me How To Dougie,Cali Swag District
Ready To Start,Arcade Fire
Best Song Ever,Katie Armiger
